course_id,course_item_id,taiwan_user_id,course_item_grade_ts,course_item_passing_state_id,course_item_grade_overall,course_item_grade_verified,course_item_grade_pending
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",f868e60e62e431f07b641d15c1db0ae702352c21,2015-11-21 03:58:35.491,1,1,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",3dd81626b1270d563e47c16110ddd195df270cd7,2015-06-26 13:52:39.823,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",08114d833e9ac25f55a8700be68fe5df3a00646a,2015-07-23 00:41:54.945,1,1,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",4c498b1ae3c9ad117158791c923e405e6a734202,2015-08-08 06:22:09.943,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",fd1f28ce48d900c8d3e5136ee8afece322548bf2,2015-07-03 05:53:22.756,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",1718a1a0b091b9551603df68dc806c76d4de499e,2015-06-19 08:12:08.374,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",477ec108dd1c8ca2b23c8d0d7f10282f490c122e,2015-07-04 04:47:13.588,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",834070e120ee7b0be26eaa8b1d743fa04d48cb39,2015-08-19 20:46:04.676,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",6af7590a072aa401f470426b0fa5634bcc018388,2015-10-18 17:46:56.683,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",3c1976f4ecdb52885a301035eaf63a7eb9eeed77,2015-08-16 01:31:49.612,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",fbba03f0e1820b12f70a500ee09b132d3fb8e724,2015-08-18 06:31:58.545,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",d2401116e91078bc0870419a53dbd7d3f977c16d,2015-08-08 14:49:54.371,2,0.888889,0.888889,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",e2dbe9197def2d4edc8012692e77f31f9426bdfe,2015-08-23 16:22:22.056,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",dc3779db1a1f74f5de4b1f980886b1111634b94c,2016-03-26 08:45:24.533,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",f8163a90604039e3dcc69417778eb5d31ff9cda4,2015-07-31 04:19:44.965,0,0.666667,0.666667,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",55159c270e8b021fba5cfcac43107433d2e5520b,2015-08-11 19:50:19.659,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",e9571d11475563ede99782ed8d1d8dfce076cbf2,2015-07-08 01:47:17.777,1,1,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",0d035d78d378c4b0372980ccb1013284348df650,2015-08-15 07:22:33.405,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",83359e1e6888a5f48c9960defe17d3982e3dae3c,2015-10-01 06:20:58.564,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",764c4957a817f93cb0caac95ef246b6700b4e6d8,2015-09-16 18:54:23.607,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",2f774f235a8b4ffaca15d6738b3ca22110a90ec7,2015-09-21 07:35:45.033,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",ef267a3d7388a017d06eec6023d72ee9be24f838,2015-08-05 11:20:36.52,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",22ab13df5b07bfb05af2700a6e2fd1b2e1eb83f1,2015-07-14 01:46:21.393,2,1,1,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",326b388f95444a6a35db4ce54bd136362c612c8f,2015-11-25 12:29:31.173,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",47d5ab55f3d4f0f429517e987a08e4c7b2559f60,2015-09-18 03:01:32.008,0,0,0,0
"POZJ3uOtEeSoXCIACw4Gzg","FFB6d",c8631b74e94819e012f2389c1f948e2781f05bfc,2015-11-26 13:58:59.709,2,1,1,0
