assessment_question_id,assessment_option_id,assessment_option_display,assessment_option_feedback,assessment_option_correct
"P5FGeuOtEeS_7SIACxCfaQ@1","fc6b789bb258b313dcc0babf096a6b9b","\"動畫\"","\"噢&#xff01;答錯囉&#xff0c;複習本週課程影片尋找答案吧&#xff1a;&#xff09;\"",f
"P5FGeuOtEeS_7SIACxCfaQ@3","fc6b789bb258b313dcc0babf096a6b9b","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>動畫</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text/></co-content>\"}}",f
"P5FGeuOtEeS_7SIACxCfaQ@2","fc6b789bb258b313dcc0babf096a6b9b","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>動畫</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>噢！答錯囉，複習本週課程影片尋找答案吧：）</text></co-content>\"}}",f
"EpTtiEYIEeSjvSIACwQQbQ@33","i0kj4nypb8kt4l68dyge44t","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>直線化</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"EpTtiEYIEeSjvSIACwQQbQ@32","i0kj4nypb8kt4l68dyge44t","\"直線化\"","\"\"",f
"GARA7FeLEeSvEiIACyyVhg@18","i1gddnjcitly96w1q5y211y","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>以上皆非</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",t
"GARA7FeLEeSvEiIACyyVhg@17","i1gddnjcitly96w1q5y211y","\"以上皆非\"","\"\"",t
"nv7uJleYEeSjYSIACwwLpg@24","i1ggtb0xhx0nbz8iev1ewwn","\"選取標註線\"","\"\"",t
"nv7uJleYEeSjYSIACwwLpg@25","i1ggtb0xhx0nbz8iev1ewwn","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>選取標註線</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",t
"QZcBheOtEeS_7SIACxCfaQ@2","193","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>畫出AC與AD線段</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"QpsDN-OtEeS_7SIACxCfaQ@3","193","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>R(rotate)</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"QpsDN-OtEeS_7SIACxCfaQ@2","193","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>R(rotate)</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"QCKwneOtEeS_7SIACxCfaQ@2","193","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>(100,50)</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"QgSP8eOtEeS_7SIACxCfaQ@2","444","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>直線化</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"QJ1eZeOtEeS_7SIACxCfaQ@2","444","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>cba </text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"0JAxP0xREeS5fSIACy-OMw@6","i0vykr7ug48nudoyt974zhd","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>一個點</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",t
"0JAxP0xREeS5fSIACy-OMw@5","i0vykr7ug48nudoyt974zhd","\"一個點\"","\"\"",t
"v8n6gwYwEeWbwyIAC9RJUQ@1","0.4253112419974059","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>s</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"v8Z4DAYwEeWbwyIAC9RJUQ@1","0.9313425468280911","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>層次</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
"Qexz5OOtEeS_7SIACxCfaQ@2","391","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>滑鼠靠近圓的中心點時會產生綠色圓形鎖點</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",t
"QH9P9-OtEeS_7SIACxCfaQ@2","391","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>1.點擊(10,6) 2. 輸入40  3. 按enter</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",t
"P2-NfeOtEeS_7SIACxCfaQ@2","88e6991126776394841f791f493a0690","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>讀圖：從2D圖想像3D物件</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>噢！答錯囉，複習本週課程影片尋找答案吧：）</text></co-content>\"}}",f
"P2-NfeOtEeS_7SIACxCfaQ@1","88e6991126776394841f791f493a0690","\"讀圖&#xff1a;從2D圖想像3D物件\"","\"噢&#xff01;答錯囉&#xff0c;複習本週課程影片尋找答案吧&#xff1a;&#xff09;\"",f
"JTWYewaDEeW3OCIAC44JnQ@2","0.7665407904423773","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content><text>物件顏色</text></co-content>\"}}","{\"typeName\":\"cml\",\"definition\":{\"dtdId\":\"assess/1\",\"value\":\"<co-content></co-content>\"}}",f
