key,timestamp,username,page_url,from,session,currentTime,playbackRate,paused,error,networkState,readyState,eventTimestamp,initTimestamp,type,prevTime
user.video.lecture.action,1412913766105,520d6219e5492d22786bf7b2acd2ea0fb176744e,https://class.coursera.org/graph-002/lecture/view?lecture_id=21,https://class.coursera.org/graph-002/lecture/21,6455603808-1408955001767,0,1,false,null,3,0,1412913660111,1412913660085,play,0
user.video.lecture.action,1412917496774,ccb023a6fcaefde03146065008f698ffab4635bb,https://class.coursera.org/graph-002/lecture/view?lecture_id=35,https://class.coursera.org/graph-002/lecture,1017391344-1401786871555,0,1,false,null,2,0,1412917755135,1412917755101,ratechange,0
user.video.lecture.action,1412917497171,ccb023a6fcaefde03146065008f698ffab4635bb,https://class.coursera.org/graph-002/lecture/view?lecture_id=35,https://class.coursera.org/graph-002/lecture,1017391344-1401786871555,0,1,false,null,2,0,1412917755145,1412917755101,play,0
user.video.lecture.action,1412917497573,ccb023a6fcaefde03146065008f698ffab4635bb,https://class.coursera.org/graph-002/lecture/view?lecture_id=35,https://class.coursera.org/graph-002/lecture,1017391344-1401786871555,0,1,false,null,2,0,1412917755147,1412917755101,ratechange,0
user.video.lecture.action,1412917497574,ccb023a6fcaefde03146065008f698ffab4635bb,https://class.coursera.org/graph-002/lecture/view?lecture_id=35,https://class.coursera.org/graph-002/lecture,1017391344-1401786871555,0,1,false,null,2,2,1412917755239,1412917755101,ratechange,0
user.video.lecture.action,1412920914314,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=5,https://class.coursera.org/graph-002/lecture/5,8252331261-1412913120879,0,1,false,null,3,0,1412920916628,1412920916595,play,0
user.video.lecture.action,1412921081224,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=7,https://class.coursera.org/graph-002/lecture/7,8252331261-1412913120879,0,1,false,null,3,0,1412921084215,1412921084183,play,0
user.video.lecture.action,1412927401738,ac3bc222ba1a52a20e0ed5585110763ddde6b4fc,https://class.coursera.org/graph-002/lecture/view?lecture_id=51,https://class.coursera.org/graph-002/lecture/51,5808995245-1409644659854,0,1,false,null,3,0,1412927403265,1412927403143,play,0
user.video.lecture.action,1412932383561,1137b15aaa4306673c6185b66eb55159ab54e95e,https://class.coursera.org/graph-002/lecture/view?lecture_id=3,https://class.coursera.org/graph-002/lecture/3,7573391253-1412649121434,0,1,true,null,2,0,1412932390130,1412900693271,pause,0
user.video.lecture.action,1412932386716,1137b15aaa4306673c6185b66eb55159ab54e95e,https://class.coursera.org/graph-002/lecture/view?lecture_id=3,https://class.coursera.org/graph-002/lecture/3,7573391253-1412649121434,0,1,true,null,2,0,1412932393282,1412900693271,stalled,0
user.video.lecture.action,1412915306349,520d6219e5492d22786bf7b2acd2ea0fb176744e,https://class.coursera.org/graph-002/lecture/view?lecture_id=21,https://class.coursera.org/graph-002/lecture/21,6455603808-1408955001767,106.199131,1,false,null,1,4,1412915199443,1412913660085,play,106.14293
user.video.lecture.action,1412913839953,520d6219e5492d22786bf7b2acd2ea0fb176744e,https://class.coursera.org/graph-002/lecture/view?lecture_id=21,https://class.coursera.org/graph-002/lecture/21,6455603808-1408955001767,12.391667,1,false,null,2,4,1412913733972,1412913660085,seeked,12.391667
user.video.lecture.action,1412921055386,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=5,https://class.coursera.org/graph-002/lecture/5,8252331261-1412913120879,140.02833557128906,1,true,null,1,4,1412921057924,1412920916595,pause,140.02833557128906
user.video.lecture.action,1412921074831,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=5,https://class.coursera.org/graph-002/lecture/5,8252331261-1412913120879,140.70933532714844,1,false,null,1,4,1412921077981,1412920916595,play,140.02833557128906
user.video.lecture.action,1412921075170,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=5,https://class.coursera.org/graph-002/lecture/5,8252331261-1412913120879,140.90899658203125,1,true,null,1,4,1412921078282,1412920916595,pause,140.90899658203125
user.video.lecture.action,1412927422028,ac3bc222ba1a52a20e0ed5585110763ddde6b4fc,https://class.coursera.org/graph-002/lecture/view?lecture_id=51,https://class.coursera.org/graph-002/lecture/51,5808995245-1409644659854,16.512999,1,true,null,1,4,1412927423585,1412927403143,pause,16.512999
user.video.lecture.action,1412927534121,ac3bc222ba1a52a20e0ed5585110763ddde6b4fc,https://class.coursera.org/graph-002/lecture/view?lecture_id=51,https://class.coursera.org/graph-002/lecture/51,5808995245-1409644659854,16.579999,1,false,null,1,4,1412927535332,1412927403143,play,16.512999
user.video.lecture.action,1412913802243,520d6219e5492d22786bf7b2acd2ea0fb176744e,https://class.coursera.org/graph-002/lecture/view?lecture_id=21,https://class.coursera.org/graph-002/lecture/21,6455603808-1408955001767,17.348333,1,false,null,2,4,1412913696262,1412913660085,seeked,17.348333
user.video.lecture.action,1412920909667,44404942ae185c9fd505ad7a1c9c7f7fbf23d33a,https://class.coursera.org/graph-002/lecture/view?lecture_id=3,https://class.coursera.org/graph-002/lecture/3,8252331261-1412913120879,199.44900512695312,1,true,null,1,4,1412920909894,1412920707819,pause,199.44900512695312
